#{"t_start": 1656761888.0548992, "env_id": "PandaGraspDepth-v1"}
r,l,t
-50.0,50,0.487054
-50.0,50,1.047673
-50.0,50,1.563158
-50.0,50,2.092669
-50.0,50,2.638752
-50.0,50,3.167387
-50.0,50,3.696876
-50.0,50,4.227329
-50.0,50,4.724929
-50.0,50,5.362322
-50.0,50,5.876421
-50.0,50,6.396319
-50.0,50,6.888855
-50.0,50,7.399565
-50.0,50,7.8725
-50.0,50,8.349466
-50.0,50,8.825554
-50.0,50,9.305569
-50.0,50,9.785487
-50.0,50,10.287534
-50.0,50,10.82584
-50.0,50,11.400349
-50.0,50,11.917043
-50.0,50,12.423975
-50.0,50,13.020604
-50.0,50,13.497551
-50.0,50,13.976248
-50.0,50,14.768149
-50.0,50,15.328447
-50.0,50,15.901686
-50.0,50,16.614233
-50.0,50,17.469054
-50.0,50,18.225276
-50.0,50,18.989854
-50.0,50,19.728757
-50.0,50,20.597985
-50.0,50,21.401039
-50.0,50,22.286454
-50.0,50,23.194226
-50.0,50,24.002384
-50.0,50,24.656402
-50.0,50,25.256362
-50.0,50,25.844453
-50.0,50,26.639296
-50.0,50,27.562415
-50.0,50,28.469894
-50.0,50,31.586044
-50.0,50,34.185626
-50.0,50,36.675232
-50.0,50,39.213302
-50.0,50,41.679363
-50.0,50,44.372788
-50.0,50,46.777306
-50.0,50,49.814399
-50.0,50,52.58098
-50.0,50,54.801586
-50.0,50,56.223319
-50.0,50,57.658403
-50.0,50,59.100713
-50.0,50,61.15015
-50.0,50,63.256976
-50.0,50,64.596737
-50.0,50,66.311958
-50.0,50,67.844863
-50.0,50,69.412101
-50.0,50,70.974234
-50.0,50,72.749418
-50.0,50,74.181689
-50.0,50,75.996447
-50.0,50,77.792079
-50.0,50,79.591586
-50.0,50,81.453732
-50.0,50,82.948045
-50.0,50,84.726877
-50.0,50,86.355789
-50.0,50,88.131167
-50.0,50,89.799272
-50.0,50,91.390896
-50.0,50,92.978809
-50.0,50,94.624501
-50.0,50,96.301716
-50.0,50,98.094742
-50.0,50,99.763929
-50.0,50,101.598764
-50.0,50,103.420353
-50.0,50,105.161292
-50.0,50,107.780336
-50.0,50,111.048159
-50.0,50,114.473123
-50.0,50,117.977149
-50.0,50,121.36687
-50.0,50,124.545599
-50.0,50,127.449955
-50.0,50,129.953299
-46.0,50,133.084992
-50.0,50,135.324669
-50.0,50,137.684232
-50.0,50,140.073388
-50.0,50,142.252013
-50.0,50,144.377079
-50.0,50,145.957204
-50.0,50,147.610325
-50.0,50,149.225412
-50.0,50,151.205779
-50.0,50,152.766458
-50.0,50,154.521764
-50.0,50,156.136108
-49.0,50,157.930126
-50.0,50,159.94327
-50.0,50,161.779667
-50.0,50,163.714089
-50.0,50,165.592173
-50.0,50,167.556025
-50.0,50,169.588262
-50.0,50,171.702667
-3.0,4,173.136304
-50.0,50,174.880327
-50.0,50,177.012949
-50.0,50,178.864089
-50.0,50,181.025357
-50.0,50,182.934381
-50.0,50,184.882229
-50.0,50,186.612277
-50.0,50,188.701185
-50.0,50,190.771513
-50.0,50,192.721725
-50.0,50,194.790282
-50.0,50,197.070343
-50.0,50,198.872794
-50.0,50,200.962986
-50.0,50,202.728975
-50.0,50,204.654224
-50.0,50,206.401253
-50.0,50,208.139211
-50.0,50,209.980566
-46.0,50,211.776954
-50.0,50,213.660776
-3.0,4,213.717829
-50.0,50,215.649168
-50.0,50,217.608687
-50.0,50,219.651819
-50.0,50,221.62473
-50.0,50,223.676532
-50.0,50,225.435806
-50.0,50,227.653273
-50.0,50,229.49256
-50.0,50,231.447334
-50.0,50,233.4132
-50.0,50,235.296545
-3.0,4,235.349554
-50.0,50,237.392424
-50.0,50,239.343428
-50.0,50,241.247172
-50.0,50,243.167594
-50.0,50,244.978344
-50.0,50,246.954489
-50.0,50,248.693202
-50.0,50,250.763461
-3.0,4,250.822855
-50.0,50,252.594105
-50.0,50,254.717983
-50.0,50,256.576773
-50.0,50,258.470749
-6.0,7,258.585775
-50.0,50,260.843093
-50.0,50,262.885781
-50.0,50,264.907982
-3.0,4,265.0025
-9.0,10,265.192586
-50.0,50,267.213627
-50.0,50,269.062788
-50.0,50,271.204447
-50.0,50,272.993898
-24.0,25,274.58036
-50.0,50,276.313891
-50.0,50,278.392858
-50.0,50,280.43732
-50.0,50,282.666047
-11.0,12,282.844429
-3.0,4,282.902085
-50.0,50,284.803311
-50.0,50,286.850989
-50.0,50,288.591404
-50.0,50,290.55604
-4.0,5,290.658061
-5.0,6,290.79037
-50.0,50,292.591591
-50.0,50,294.365237
-50.0,50,296.035303
-3.0,4,296.094443
-50.0,50,297.8538
-6.0,7,297.96477
-50.0,50,299.7886
-50.0,50,301.704778
-50.0,50,303.861572
-50.0,50,305.675695
-50.0,50,307.63269
-3.0,4,308.745405
-50.0,50,310.689944
-50.0,50,312.501909
-50.0,50,314.495053
-50.0,50,316.650008
-50.0,50,318.509046
-7.0,8,318.62492
-50.0,50,320.433851
-50.0,50,322.283999
-25.0,26,322.722203
-50.0,50,324.777867
-50.0,50,326.819387
-50.0,50,329.005031
-50.0,50,331.033932
-50.0,50,332.905869
-50.0,50,334.816757
-8.0,9,334.932881
-3.0,4,335.896936
-50.0,50,337.962118
-3.0,4,338.014873
-50.0,50,339.757388
-50.0,50,341.991404
-50.0,50,344.311165
-50.0,50,346.074119
-15.0,16,346.384947
-50.0,50,348.249462
-50.0,50,350.304835
-50.0,50,352.270603
-50.0,50,354.15059
-50.0,50,355.960799
-50.0,50,357.948646
-50.0,50,359.873456
-50.0,50,361.896188
-9.0,10,362.065023
-50.0,50,364.24226
-20.0,21,365.732632
-50.0,50,367.987513
-50.0,50,370.112077
-4.0,5,370.21262
-50.0,50,371.911291
-50.0,50,373.804521
-50.0,50,376.141342
-50.0,50,378.262037
-50.0,50,380.636087
-50.0,50,382.624543
-50.0,50,384.873153
-14.0,15,385.157107
-5.0,6,385.246401
-50.0,50,387.781428
-50.0,50,389.943366
-4.0,5,390.062247
-4.0,5,390.178854
-4.0,5,390.261652
-50.0,50,392.286102
-50.0,50,394.423526
-50.0,50,396.416671
-3.0,4,396.477022
-50.0,50,398.891292
-50.0,50,401.256238
-3.0,4,402.370283
-6.0,7,402.497321
-3.0,4,402.556917
-50.0,50,404.671079
-21.0,22,405.00244
-3.0,4,405.061017
-4.0,5,405.127572
-15.0,16,406.459655
-3.0,4,406.606907
-30.0,31,407.181038
-4.0,5,407.249695
-50.0,50,409.056396
-50.0,50,411.168242
-50.0,50,413.074912
-10.0,11,414.529802
-6.0,7,414.643332
-4.0,5,414.722473
-50.0,50,417.042492
-50.0,50,418.826498
-9.0,10,418.981201
-50.0,50,420.944476
-50.0,50,422.712193
-50.0,50,424.575743
-19.0,20,425.776175
-4.0,5,425.843474
-7.0,8,425.945236
-50.0,50,427.937869
-6.0,7,428.093191
-50.0,50,429.92776
-8.0,9,430.052979
-6.0,7,430.15488
-50.0,50,431.761601
-7.0,8,431.87131
-50.0,50,433.47032
-50.0,50,435.268685
-16.0,17,436.37229
-3.0,4,436.421269
-7.0,8,436.520227
-3.0,4,436.568945
-5.0,6,436.641358
-13.0,14,436.838637
-50.0,50,438.831937
-4.0,5,439.987952
-50.0,50,442.067791
-26.0,27,442.42885
-6.0,7,442.514103
-41.0,50,444.397422
-6.0,7,444.496151
-9.0,10,445.610997
-3.0,4,445.677103
-7.0,8,445.80727
-17.0,18,446.126693
-50.0,50,448.130635
-6.0,7,448.233701
-50.0,50,450.176897
-3.0,4,450.24409
-50.0,50,452.2221
-50.0,50,454.28177
-50.0,50,456.476758
-50.0,50,458.608925
-50.0,50,460.48374
-7.0,8,461.769774
-50.0,50,464.641064
-50.0,50,468.443921
-8.0,9,468.679735
-9.0,10,468.987229
-50.0,50,472.599221
-8.0,9,472.797643
-50.0,50,476.556753
-4.0,5,476.706946
-7.0,8,476.941255
-50.0,50,479.380695
-12.0,13,480.765626
-3.0,4,480.888637
-7.0,8,481.052333
-15.0,16,481.37828
-28.0,29,482.999535
-9.0,10,483.152575
-6.0,7,483.245396
-50.0,50,485.306629
-50.0,50,487.229033
-50.0,50,489.229883
-4.0,5,489.389149
-5.0,6,489.571245
-7.0,8,490.704776
-14.0,15,490.940372
-4.0,5,491.015205
-4.0,5,491.091262
-50.0,50,492.943878
-7.0,8,493.072215
-50.0,50,495.204501
-4.0,5,495.28114
-9.0,10,495.458485
-3.0,4,496.493832
-3.0,4,496.556576
-3.0,4,496.620075
-13.0,14,496.810156
-50.0,50,498.802119
-3.0,4,498.869422
-9.0,10,499.021353
-10.0,11,499.193989
-3.0,4,500.381339
-3.0,4,500.436752
-3.0,4,500.498781
-4.0,5,500.572047
-3.0,4,500.629095
-50.0,50,502.808045
-50.0,50,504.582202
-50.0,50,506.345636
-4.0,5,506.428199
-8.0,9,506.584895
-3.0,4,506.652922
-3.0,4,506.72027
-3.0,4,506.782865
-5.0,6,507.970071
-3.0,4,508.025651
-3.0,4,508.125332
