#{"t_start": 1656761887.8839447, "env_id": "PandaGraspDepth-v1"}
r,l,t
-50.0,50,0.652727
-50.0,50,1.211909
-50.0,50,1.728613
-50.0,50,2.211253
-50.0,50,2.804241
-50.0,50,3.332675
-50.0,50,3.861876
-50.0,50,4.39273
-50.0,50,4.890572
-50.0,50,5.528008
-50.0,50,6.042077
-50.0,50,6.56197
-50.0,50,7.054465
-50.0,50,7.565077
-50.0,50,8.038179
-50.0,50,8.515094
-50.0,50,8.99122
-50.0,50,9.47111
-50.0,50,9.951173
-50.0,50,10.453287
-50.0,50,10.99158
-50.0,50,11.562288
-50.0,50,12.082494
-50.0,50,12.589449
-50.0,50,13.186285
-50.0,50,13.663163
-50.0,50,14.1418
-50.0,50,14.933278
-50.0,50,15.493178
-50.0,50,16.066671
-50.0,50,16.772581
-50.0,50,17.5902
-50.0,50,18.390101
-50.0,50,19.155113
-50.0,50,19.894154
-50.0,50,20.763528
-50.0,50,21.559217
-50.0,50,22.44795
-50.0,50,23.355456
-50.0,50,24.167822
-50.0,50,24.821723
-50.0,50,25.422109
-50.0,50,26.002838
-50.0,50,26.801462
-50.0,50,27.720689
-50.0,50,28.629337
-50.0,50,31.743091
-50.0,50,34.350837
-50.0,50,36.840825
-50.0,50,39.371746
-50.0,50,41.838075
-50.0,50,44.537691
-50.0,50,46.935381
-50.0,50,49.973805
-50.0,50,52.745886
-50.0,50,54.920957
-50.0,50,56.388962
-50.0,50,57.822375
-50.0,50,59.260182
-50.0,50,61.314563
-50.0,50,63.422454
-50.0,50,64.762062
-50.0,50,66.472129
-50.0,50,68.009789
-50.0,50,69.576122
-50.0,50,71.131995
-50.0,50,72.915136
-50.0,50,74.346474
-50.0,50,76.154704
-50.0,50,77.913142
-50.0,50,79.756011
-50.0,50,81.615876
-50.0,50,83.113972
-50.0,50,84.892353
-50.0,50,86.52069
-50.0,50,88.296576
-50.0,50,89.962107
-50.0,50,91.553714
-50.0,50,93.142705
-50.0,50,94.790562
-50.0,50,96.465801
-50.0,50,98.258757
-50.0,50,99.929708
-50.0,50,101.763427
-50.0,50,103.586149
-50.0,50,105.327174
-50.0,50,107.944048
-50.0,50,111.208984
-50.0,50,114.630164
-50.0,50,118.134488
-50.0,50,121.525342
-50.0,50,124.711089
-50.0,50,127.607961
-50.0,50,130.116238
-50.0,50,133.248706
-50.0,50,135.489127
-50.0,50,137.847251
-50.0,50,140.236697
-50.0,50,142.417779
-50.0,50,144.543638
-50.0,50,146.122838
-50.0,50,147.776271
-50.0,50,149.388309
-50.0,50,151.370231
-50.0,50,152.932786
-50.0,50,154.686369
-50.0,50,156.301443
-50.0,50,158.094174
-50.0,50,160.109255
-50.0,50,161.942753
-50.0,50,163.87727
-50.0,50,165.754563
-3.0,7,167.035264
-50.0,50,169.001383
-48.0,50,171.138974
-50.0,50,173.348218
-50.0,50,175.087548
-49.0,50,177.226874
-50.0,50,179.074704
-50.0,50,181.230256
-50.0,50,183.144475
-50.0,50,185.082212
-50.0,50,186.840463
-11.0,16,187.211263
-50.0,50,189.221497
-50.0,50,191.351985
-3.0,4,191.425958
-6.0,7,191.54825
-50.0,50,193.437093
-5.0,6,193.540471
-50.0,50,195.723244
-50.0,50,197.881132
-50.0,50,199.583482
-3.0,4,199.637141
-50.0,50,201.772331
-50.0,50,203.535236
-50.0,50,205.503029
-50.0,50,207.231438
-3.0,4,207.282258
-50.0,50,208.968363
-50.0,50,210.883356
-3.0,4,211.923523
-50.0,50,213.79409
-50.0,50,215.730607
-50.0,50,217.691783
-50.0,50,219.720169
-19.0,20,220.059421
-50.0,50,222.005024
-50.0,50,223.997518
-50.0,50,225.849171
-50.0,50,228.034903
-50.0,50,229.935524
-4.0,5,230.020522
-50.0,50,231.890792
-50.0,50,233.893776
-50.0,50,235.741642
-50.0,50,237.814497
-50.0,50,239.747643
-50.0,50,241.613225
-50.0,50,243.623626
-50.0,50,245.397936
-3.0,8,245.522974
-50.0,50,247.481942
-50.0,50,249.244217
-15.0,16,250.698501
-50.0,50,252.500996
-50.0,50,254.675997
-50.0,50,256.52523
-50.0,50,258.399225
-50.0,50,260.623075
-50.0,50,262.679921
-3.0,4,262.74013
-50.0,50,264.7908
-50.0,50,266.82183
-50.0,50,268.673114
-50.0,50,270.803104
-50.0,50,272.701464
-50.0,50,274.579705
-47.0,48,276.347345
-3.0,4,276.405057
-50.0,50,278.485581
-7.0,8,278.60436
-50.0,50,280.643748
-50.0,50,282.875199
-50.0,50,284.74703
-50.0,50,286.774505
-50.0,50,288.535271
-3.0,4,288.599976
-50.0,50,290.595368
-50.0,50,292.45262
-4.0,5,292.520479
-3.0,4,292.5796
-50.0,50,294.366888
-50.0,50,296.023403
-50.0,50,297.786237
-50.0,50,299.583235
-13.0,14,299.82556
-5.0,6,299.919022
-3.0,4,301.093521
-50.0,50,303.079612
-50.0,50,304.998854
-6.0,7,305.105117
-50.0,50,307.13247
-50.0,50,308.99312
-50.0,50,310.921422
-50.0,50,312.734825
-50.0,50,314.735062
-10.0,11,314.959804
-50.0,50,317.051815
-3.0,4,317.109011
-3.0,4,317.182033
-50.0,50,319.033708
-3.0,4,319.092494
-50.0,50,320.88187
-13.0,14,321.114295
-50.0,50,323.023518
-50.0,50,325.0662
-50.0,50,327.086957
-50.0,50,329.283605
-50.0,50,331.302133
-50.0,50,333.168006
-3.0,4,333.216308
-50.0,50,335.132932
-36.0,37,336.644218
-11.0,12,336.854028
-50.0,50,338.948091
-50.0,50,340.66975
-4.0,5,342.128962
-3.0,4,342.201093
-50.0,50,344.522283
-50.0,50,346.284616
-50.0,50,348.193767
-50.0,50,350.237782
-50.0,50,352.040182
-50.0,50,354.118737
-11.0,12,354.305697
-9.0,10,354.458879
-50.0,50,356.266645
-5.0,6,356.359663
-50.0,50,358.363166
-50.0,50,360.298041
-50.0,50,362.307565
-3.0,4,362.371833
-4.0,5,362.452056
-5.0,6,363.869766
-18.0,19,364.214292
-9.0,10,364.389351
-15.0,16,364.662131
-3.0,4,364.720004
-50.0,50,366.714992
-50.0,50,368.977811
-3.0,4,370.323958
-3.0,4,370.392736
-3.0,4,370.44433
-3.0,4,370.507748
-50.0,50,372.19837
-14.0,15,372.421746
-50.0,50,374.506678
-5.0,6,374.587473
-50.0,50,376.873421
-50.0,50,378.960664
-50.0,50,381.40223
-50.0,50,383.342209
-50.0,50,385.606621
-50.0,50,388.076559
-4.0,5,388.153664
-3.0,4,388.211732
-5.0,6,389.529886
-4.0,5,389.619492
-50.0,50,391.89208
-50.0,50,393.89474
-4.0,5,393.987575
-4.0,5,394.083508
-50.0,50,396.202988
-50.0,50,398.460575
-50.0,50,400.84764
-50.0,50,402.804406
-8.0,9,402.949497
-50.0,50,405.037215
-22.0,23,405.385618
-50.0,50,407.412584
-24.0,25,408.82254
-5.0,6,408.914895
-50.0,50,410.980726
-10.0,11,411.160741
-50.0,50,413.116912
-6.0,7,413.224359
-50.0,50,415.519331
-50.0,50,417.625182
-50.0,50,419.400527
-6.0,7,420.715081
-3.0,4,420.766192
-4.0,5,420.832804
-8.0,9,420.95888
-50.0,50,422.744909
-6.0,7,422.839097
-4.0,5,422.951025
-4.0,5,423.022993
-50.0,50,424.866519
-5.0,6,424.951324
-3.0,4,425.010341
-6.0,7,426.009231
-5.0,6,426.084161
-3.0,4,426.137071
-3.0,4,426.183648
-3.0,4,426.240085
-7.0,8,426.363158
-3.0,4,426.416798
-50.0,50,428.500553
-4.0,5,428.578191
-50.0,50,430.376226
-50.0,50,431.982213
-5.0,6,432.064772
-50.0,50,433.662328
-50.0,50,435.46322
-50.0,50,436.990574
-6.0,7,438.195807
-50.0,50,440.168091
-46.0,47,442.210219
-50.0,50,444.066861
-4.0,5,444.124023
-5.0,6,444.186893
-50.0,50,445.90501
-3.0,4,445.968808
-9.0,10,446.140661
-37.0,38,447.991453
-3.0,4,448.051224
-7.0,8,448.169736
-50.0,50,450.054191
-4.0,5,450.1511
-4.0,5,450.263958
-8.0,9,450.409806
-50.0,50,452.385994
-50.0,50,454.444999
-22.0,23,456.038254
-3.0,4,456.161277
-50.0,50,458.415778
-3.0,4,458.47554
-3.0,4,458.536642
-14.0,15,458.771658
-5.0,6,459.786138
-50.0,50,461.907476
-31.0,32,462.507769
-50.0,50,465.556833
-4.0,5,465.631094
-11.0,12,468.557984
-32.0,33,469.4026
-9.0,10,469.642657
-10.0,11,472.446941
-3.0,4,472.508437
-11.0,12,472.729111
-50.0,50,476.488065
-3.0,4,476.548136
-50.0,50,479.12599
-50.0,50,481.317531
-8.0,9,481.497775
-8.0,9,481.673808
-18.0,19,483.117423
-12.0,13,483.314755
-25.0,26,484.931563
-5.0,6,485.109159
-12.0,13,485.321218
-50.0,50,487.200429
-11.0,12,487.388617
-8.0,9,487.503605
-9.0,10,488.813322
-50.0,50,490.866236
-50.0,50,492.733676
-5.0,6,492.832336
-6.0,7,492.935315
-14.0,15,493.157869
-50.0,50,495.271695
-4.0,5,495.364945
-3.0,4,495.427407
-6.0,7,495.546604
-17.0,18,496.816616
-5.0,6,496.890152
-17.0,18,497.137766
-8.0,9,497.30984
-50.0,50,499.281742
-5.0,6,500.520837
-12.0,13,500.710537
-50.0,50,502.880636
-5.0,6,502.970521
-50.0,50,504.747428
-4.0,5,504.805611
-3.0,4,504.862411
-4.0,5,504.936738
-13.0,14,505.140057
-4.0,5,506.281402
-4.0,5,506.34067
-42.0,43,508.116594
-3.0,4,508.176032
-3.0,4,508.259017
-50.0,50,510.562799
-3.0,4,510.608469
-5.0,6,510.698179
-4.0,5,510.76321
-3.0,4,510.826182
-50.0,50,512.892129
-5.0,6,513.000219
-4.0,5,513.07421
-7.0,8,513.208928
-4.0,5,514.220695
-7.0,8,514.334926
-5.0,6,514.424238
-8.0,9,514.540354
-9.0,10,514.71786
-5.0,7,514.814628
-3.0,4,514.876263
-7.0,8,516.035473
-3.0,4,516.084633
-6.0,7,516.172358
-25.0,26,516.538972
-7.0,8,516.655089
-3.0,4,517.854024
-6.0,7,518.034388
-5.0,6,518.146994
-50.0,50,520.32908
-4.0,5,520.396712
-5.0,6,520.475405
-3.0,4,520.527748
-50.0,50,522.483621
-4.0,5,522.569985
-3.0,4,522.642682
-50.0,50,524.776418
-50.0,50,526.650796
-3.0,4,526.704531
-5.0,6,527.730976
-4.0,5,527.789161
-3.0,4,527.835015
-3.0,4,527.896786
-3.0,4,527.965142
-4.0,5,528.057154
-50.0,50,530.08505
-48.0,50,531.931981
-3.0,4,531.987933
-7.0,8,532.110395
-3.0,4,532.169449
-3.0,4,532.25017
-8.0,9,533.652437
-4.0,5,533.721063
-3.0,4,533.764695
-6.0,7,533.856393
-3.0,4,533.907426
-3.0,4,533.967811
-3.0,4,534.013738
-4.0,5,534.075468
-3.0,4,534.119025
-3.0,4,534.165407
-6.0,7,534.260695
-50.0,50,536.05066
-3.0,4,537.370295
-50.0,50,540.890846
-5.0,6,541.024232
-3.0,4,541.075646
-6.0,7,541.223445
-3.0,4,541.317257
-5.0,6,541.446107
-3.0,4,541.525908
-5.0,6,541.67032
-6.0,7,541.81462
-50.0,50,545.857384
-4.0,5,548.107636
-5.0,6,548.179045
-4.0,5,548.296689
-6.0,7,548.428287
-50.0,50,551.555291
-3.0,4,551.606973
-28.0,29,553.107154
-4.0,5,553.183071
-5.0,6,553.279372
-4.0,5,553.356132
-3.0,4,553.403168
-3.0,4,553.451371
-4.0,5,553.50315
-3.0,4,553.550074
-3.0,4,553.604258
-3.0,4,553.66616
-4.0,5,553.744212
-5.0,6,555.31315
-3.0,4,555.373381
-50.0,50,557.301668
-6.0,7,557.461967
-50.0,50,559.512095
-50.0,50,561.105653
-4.0,5,561.17996
-3.0,4,561.241904
-7.0,8,561.364672
-3.0,4,561.447353
-3.0,4,561.500236
